,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
clark,남자 이름,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
structured,"구조[구성, 조직]가 있는; 카르텔화한.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamic,(서로 관계되는 세력∙영향력 사이의) 역학,"동력학, 역학","원동력, 동력","강약, 셈여림","정력적인, 활발한",역동적인,"역학적인, 동력학의","동작을 나타내는(eat, grow, knock, die 같은 동사들. 이런 동사는 진행형으로 쓸 수 있다.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
menu,(식당·식사의) 메뉴,(화면의) 메뉴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net,"망사, 레이스",(무엇을 잡거나 가리기 위한) 그물[망],"골대, 골문",네트,,(돈의 액수에 대해) 순(純)–,(무게에 대해 용기(用器)를 뺀) 실(實)–,최종적인,순이익을 올리다,(특히 고기를) 그물로 잡다,"(교묘하게 사람을) 잡다, (무엇을) 획득하다",(공을 차거나 쳐서) 득점하다,"그물로 가리다, (모기장 등을) 치다",,,,,,,,,,,,,,,,,,,,,,,,,,
cast,(시선미소 등을) 던지다[보내다],(빛을) 발하다; (그림자를) 드리우다,(~에 대해) 의심을 불러일으키다,(낚싯줄을) 던지다,"(힘껏) 던지다, 내던지다",(뱀이 허물을) 벗다,(말이 편자를) 벗다,"배역을 정하다[맡기다], 캐스팅을 하다",~를 (~로) 묘사하다[제시하다],(~에게) 표를 던지다,(~으로) ~을 주조하다,(어떤 연극이나 영화의) 출연자들[배역진],주물,"거푸집, 주형",(겉으로 보이는) 자세[태도],(특히 낚싯줄을) 던지기,,,,,,,,,,,,,,,,,,,,,,,
landlord,"(방·집·사무실 등을 빌려주는) 주인, 임대주, 임대 회사",(퍼브(pub)·작은 호텔의 남자) 주인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bruce,남자 이름,"브루스 Robert  ~ (1274-1329) ((스코틀랜드 왕(1306-29); 1314년 영국군을 격파하고, 스코틀랜드의 독립을 확보))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brass,놋쇠[황동] (제품),금관악기 (연주자),(특히 마구에 다는) 황동 장식패,(사망한 사람들의 이름이나 사진을 새겨 교회 벽 등에 거는) 황동 기념패,,"돈, 엽전",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integral,"(전체를 구성하는 일부로서) 필수적인, 필요불가결한","(따로 제공되는 것이 아니라) 일부로 들어가[포함되어] 있는, 내장된",(필요한 모든 부분이 갖춰져) 완전한,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
refrigerator,"냉장고 , 냉각[냉동] 장치, 냉장기; 빙실(氷室)",증기 응결기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
december,12월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gastrointestinal,위장의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
obey,"시키는 대로 하다, (명령·법 등을) 따르다[지키다], 순종[복종]하다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
commence,시작되다[하다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conserve,"아끼다, 아껴 쓰다",보호[보존]하다,(과일을 통째로나 굵게 썰어 만든) 과일 설탕 조림,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poor,"가난한, 빈곤한",가난한 사람들,"불쌍한, 가련한",(질적으로) 좋지 못한,"(어떤 일을) 잘 못하는, 실력 없는, 형편없는",(자원 등이) 빈약한[부족한],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audience,(연극·음악회·강연 등의) 청중[관중],(동일한 프로·책·영화 등의) 시청자[독자/관람객],알현,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rebound,(공 등이 어떤 것을 치고) 다시 튀어나오다[튀어오르다],(남을 노리고 한 행동의 나쁜 결과가 자기에게로) 되돌아오다,반등하다,(공이) 다시 튀어나옴[튀어 오름],리바운드,만회,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buy,"사다[사 주다], 구입하다",사다,(돈으로) 매수하다,(대가를 치르고) 얻다,(특히 사실 같지 않은 것을) 믿다,잘 산 물건,(사거나 팔) 물건; 구입,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taxis,"순서, 배열",(탈장 등의) 정복술(整腹術),주성(走性),"배치, 순서",(고대 그리스 군대의) 분대(分隊),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
downsize,(사업체가 비용 절감을 위해 인원을) 줄이다[축소하다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hazard,위험 (요소),틀릴 셈치고[모험 삼아] 제안[추측]하다,~을 위태롭게 하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
empty,"비어 있는, 빈","공허한, 무의미한","공허한, 무의미한",(마땅히 있어야 할) ~이 없는,(그릇 등에 든 것을) 비우다,"비게 되다, 비다",(안에 있던 것을) 꺼내다[쏟다],(건물 등을[에서]) 비우다[사람들을 모두 나가게 하다],(한 곳에서 다른 곳으로) 흐르다[이동하다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entail,수반하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
efficacy,(특히 약이나 치료의) 효험,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
procedure,(특히 어떤 일을 늘·제대로 하는) 절차[방법],(특히 상업·법률·정치에서 일을 하는 공식적인) 절차[수순],수술,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cologne,오드콜로뉴(연한 향수의 일종),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allot,(시간·돈·업무 등을) 할당[배당]하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
condo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thickness,두께,겹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attendee,참석자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
downloaded,(데이터를) 다운로드하다[내려받다],다운로드한 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reconcile,(두 가지 이상의 생각·요구 등을) 조화시키다,화해시키다,(어쩔 수 없는 불쾌한 상황을 체념하고) 받아들이다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consumer,소비자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
short,(길이거리가) 짧은,키가 작은,(시간이) 짧은,"얼마 안 되는, 아주 짧게 느껴지는","부족한, …이 없는",(어떤 자질이) 부족한[모자라는],"쉽게 구할 수 없는, 아쉬운",(언급된/필요한 수양거리보다) 짧은[부족한/모자라는],숨이 가쁜,"줄인 형태의, 축약형[약칭]의","무뚝뚝한, 퉁명스러운",(모음이) 단음의,…이 부족하다,(필요예상보다 거리가) 짧게,&lt;예상되거나 준비된 시간 또는 자연스럽게 끝날 시간 전에 무엇이 끝남을 나타낼 때 씀&gt;,(위스키 같은 독한 술을 작은 잔으로) 한 잔,(특히 본 영화 전에 상영하는) 단편 영화,,,,,,,,,,,,,,,,,,,,,,
selection,"선발, 선정, 선택",선발[선정/선택]된 사람들[것들],선택 가능한 것들(의 집합),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amidst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pollute,오염시키다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humidity,습도,"습함, 습기",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eye,(한쪽) 눈,눈이 …한[…개인],시력,"시각, (사물을 보는 방식으로서의) 눈",바늘귀,(호크 단추의) 구멍,태풍의 눈,(감자의) 눈[싹],(특히 탐이 나거나 의심스러워서) 쳐다보다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
valid,(법적·공식적으로) 유효한[정당한],(논리적으로) 타당한[근거 있는],(시스템에 쓰기에) 유효한,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
endeavour,(특히 새롭거나 힘든 일을 하려는) 노력[시도],"힘껏 노력하다, 분투하다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frustrate,"좌절감을 주다, 불만스럽게 만들다","방해하다, 좌절시키다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
option,"선택(할 수 있는 것), (기기의) 옵션; 선택권",선택 과목,(특정 자산의 매매) 선택권[옵션],(프로그램 사용상의) 선택[옵션],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
discover,(무엇의 존재를) 발견하다,(감춰져 있거나 예상치 못하던 것을) 발견하다,(무엇에 대한 정보를) 찾다[알아내다],"(가수·배우 등을) 발굴하다, (…의 재능을) 발견하다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esteem,(대단한) 존경,(대단히) 존경[찬탄]하다,(…라고) 생각하다[여기다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
competitor,(특히 사업에서) 경쟁자[경쟁 상대],(시합) 참가자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explore,답사[탐사/탐험]하다,탐구[분석]하다,(손이나 발 등으로) 더듬어 보다[살피다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feel,(특정한 감정기분이[을]) 들다[느끼다],(촉감으로) 느끼다,(마음으로) 느끼다[의식하다],"(특정한 느낌인상이) 들다, …인 것 같다",(촉감이) …하다,(손가락으로) 만져 보다,…라고 생각하다,(무엇의 영향결과를 흔히 강하게) 받다[느끼다],(~을 찾아 손발 등으로) 더듬다,"촉감, 감촉",만져 봄,(장소 등의) 느낌[분위기],,,,,,,,,,,,,,,,,,,,,,,,,,,
garden,"뜰, 정원",정원,공원,(거리 명에서) 가든,정원 가꾸기를 하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
almost,거의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maker,…을 만드는[생산하는] 사람[회사/기계],"조물주, 신",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hg,헥토그램(hectogram(s): 100그램),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheese,치즈,치즈[김치] 하세요!(사진 찍을 때 하는 말),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
touchscreen,터치스크린(컴퓨터의 display 화면에 손가락을 대기만 해도 입력되게 되어 있는 표시 화면).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
star,"별, 항성","별 모양[무늬](의 것), 별표; (장성 계급의) 별",(호텔식당 등의 등급을 나타내는) 별,스타(가수배우운동선수 등),(영화연극 등에서의) 주연[주역],(집단 내에서) 최고[최우수],(감사 등을 나타내는 말에서) 최고,"(별자리를 통해 본) 운세, 별점",(영화연극 등에서) 주연[주역]을 맡다,(영화연극 등이 어떤 배우에게) 주연[주역]을 맡기다,"별표를 붙이다, 별표로 표시하다",,,,,,,,,,,,,,,,,,,,,,,,,,,,
garrett,남자 이름. Gerald의 별칭.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darkness,"어둠, 암흑, 캄캄함","검음, 색이 짙음",악,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apologize,사과하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
question,"질문, 의문; (시험 등에서의) 문제",(논의처리해야 할) 문제,"의심, 의문","(특히 공식적으로) 질문하다, 심문하다, 설문 조사하다","의심하다, 의문을 갖다; 이의를 제기하다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steven,남자 이름 ((애칭 Steve)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lenses,렌즈,,(안구의) 수정체,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
furnish,(가구를) 비치하다,제공[공급]하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
able,…할 수 있는,"재능 있는, 능력 있는",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jim,못쓰게[엉망이 되게] 하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weidman,"Charles,(1901-75): 미국의 무용가·안무가·교사.","Jerome,: 미국의 저술가.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
publicly,"공공연하게, 공개적으로; 공적으로, 여론에 의해; 정부에 의해",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sustain,(필요한 것을 제공하여) 살아가게[존재하게/지탱하게] 하다,계속[지속]시키다,(피해 등을) 입다[당하다],(이론 등을) 뒷받침하다,(깨지거나 무너지지 않고 무게를) 견디다[지탱하다],(주장 등의 유효성을) 인정하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offers,"제의[제안]하다, 권하다, (기꺼이) 해 주겠다고 하다",(이용할 수 있도록) 내놓다[제공하다],(하느님께) 바치다[올리다],"제의, 제안","(금전적) 제의, 제의한 액수",(보통 짧은 기간 동안의) 할인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panoramic,파노라마(식)의; 개관적인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
got,GET의 과거·과거분사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marie,여자 이름,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accountant,"회계원, 회계사",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confirmation,확인(무엇이 사실이거나 확정되었음을 보여주는 진술·편지 등),(기독교의) 견진 성사,유대교에서 16세 이상의 청소년을 위한 종교 의식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
congress,(여러 단체의 대표들이 모이는) 회의,(미국 및 일부 다른 국가들의) 의회[국회],&lt;일부 국가에서 정당 이름에 쓰임&gt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coming,"(새로운 것의) 시작, 도래",다가오는; 다음의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
streetcar,시내 전차 (tram),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state,상태,"국가, 나라",(미국오스트레일리아 등에서) 주(州),"정부, 국가",(국가 차원의 공식적인) 의식,미국,"국가의, 국영의",(국가 지도자의 행사 참석과 관련하여) 국가[공식]적인,(특히 미국에서) 주(州)[주립]의,"(정식으로) 말하다[쓰다], 진술[서술/언명]하다",(특히 문서에) 명시하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
athletic,(몸이) 탄탄한,육상(경기)의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oversupply,"너무 많이 공급하다, 과잉 공급하다",과잉 공급,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
readjust,(변화 등에) 다시 적응하다,(약간) 조정[변경]하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smith,,"[보통 복합어를 이루어]  금속 세공인 , ((특히))  대장장이 (blacksmith)","제조인, 제작자; 장식공(cf. GOLDSMITH, TINSMITH, WHITESMITH)",단조(鍛造)하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dog,개,(개여우늑대의) 수컷,그레이하운드(greyhound) 경주,"저질 물건, 실패작",매력[별 볼일] 없는 여자(모욕적인 표현),(특히 형용사 뒤에 쓰여 남자를 욕하는 말로) 개새끼[개자식],(오랫동안) 괴롭히다,(누구 뒤를) 바싹 따라가다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bookkeeping,부기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
growth,성장,(크기·양·정도의) 증가,(경제의) 성장,(질병으로 사람·동식물에 생기는) 종양[혹],자란 것(식물·수염·손톱·발톱 등),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stafford,"스태퍼드. 영국 잉글랜드 중부, Stafford 주의 주도(州都).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hesitation,"[U] 주저, 망설임; 우유부단; 어물어물함, 우물쭈물함 ((in))",(말)더듬기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classroom,교실,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
printing,인쇄; 인쇄술,(같은 책의 출간 횟수를 나타내는) 쇄(刷),인쇄체,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
insure,보험에 들다[가입하다],보험을 팔다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indoor,"실내의, 실내용의",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scholarship,장학금,학문,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
probable,"(어떤 일이) 있을[사실일] 것 같은, 개연성 있는",(사람동물이) 우승할[선발될] 것 같은 후보,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acidity,신맛; 산성,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giant,(이야기 속의) 거인,거인 같은[거대한] 사람[동물/식물],거대 조직[기업],(어떤 분야에서 재능이 아주 뛰어난) 거인,거대한; 위대한,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seminar,"(대학에서의) 토론식 수업, 세미나",(토론·교육을 위한) 세미나[토론회/연구회],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
violation,"위반, 위배 ((of))","방해, 침해, 침입 ((of))",(신성) 모독 ((of)),성폭행(rape),바이얼레이션,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filthy,아주 더러운,추잡한(보통 섹스와 관련된),"심술이 난, 성질 고약한","음산한, 궂은",지독히도 더러운,더럽게 부자인[돈이 많은],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outskirts,(도시의) 변두리[교외],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
store,백화점,(크고 작은) 가게[상점],비축[저장]량,(특정한 종류용도의) 상품[물품],(특정한 종류의 상품) 저장고[창고],저장[보관]하다,(컴퓨터뇌 속에 정보 등을) 저장[기억]하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robust,"원기 왕성한, 팔팔한",(기구 등이) 튼튼한[강력한],탄탄한,"씩씩한, 투지 넘치는; 확신에 찬",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graduation,(대학 또는 미국에서는 고등학교의) 졸업,졸업식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seal,(봉투 등을) 봉[봉인]하다,밀봉[밀폐]하다,(보호막 같은 물질을) 바르다[씌우다],"확정짓다, 다짐하다",봉쇄하다,(특정 개인·기관을 나타내는) 직인[도장/인장],"(무엇을) 확정해 주는 것, 보증해 주는 표시",(용기의) 밀봉[밀폐] 부분[물질],(편지·상자 등의) 봉랍,(왁스 등에 대고 찍는) 실[도장],"바다표범, 물개",,,,,,,,,,,,,,,,,,,,,,,,,,,,
wright,"장인, 기능인 ((목수 등의)); 제조인 ((배·차 등의))",작가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
misplace,(특히 짧은 시간 동안 무엇을) 제자리에 두지 않다(그래서 찾지를 못하다),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pop,팝(뮤직),(특히 호칭으로) 아빠,펑[빵] (하고 터지는 소리),탄산수,펑[빵] 하는 소리가 나다[소리를 내다],펑[빵] 하고 터지다[터뜨리다],잠깐 가다[들르다],잠깐[불쑥] 내놓다,불쑥 나타나다,(비행기를 타고 올라가거나 내려갈 때처럼 기압 변화 때문에 귀가) 멍해지다,(놀라거나 흥분하여) 눈이 휘둥그레지다[눈알이 튀어나올 것 같다],(정기적으로 마약을) 왕창 먹다[맞다],팝(뮤직)의,대중적인,,,,,,,,,,,,,,,,,,,,,,,,,
benny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whatever,"…한 어떤[모든]; …한 어떤[모든] 것, …한 무엇","어떤 …일지라도, 어떤 …이든",(놀람혼란스러움을 나타내는 의문문에서) 도대체 무슨[무엇],그게 뭐든(남의 말에 대한 대꾸에서 무슨 일이 있건 상관없음을 또는 그들의 말에 관심 없음을 나타냄),아무것이든[뭐든지] (상관없다는 뜻),"전혀, 어떤 종류의 것도",무슨 일이 있어도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newly,"최근에, 새로",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deadline,"기한, 마감 시간[일자]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chance,(특히 원하는 일이 일어날) 가능성,기회,위험(성),우연; 운,운에 맡기다,우연히 하다[발생하다],우연한,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
art,미술; 예술(행위),미술품,"미술 (과목), 회화",(집합적으로) 예술,(시각 또는 공연) 예술,인문학,기술,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
first,"첫, 첫 (번)째의; 첫째",첫째[제일/일등]의,"우선, 맨 먼저",처음(으로),(여러 가지를 나열할 때) 첫째(로),차라리,최초의[맨 첫] 인물[것],처음 (한 일),(차량의) 제1단 기어,(영국 대학 학위 성적에서) 최우등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,"보통의, 평범한, 정상적인",(정신 상태가) 정상인,"보통, 평균, 정상",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nonsmoker,비흡연자; 《英》 (철도의) 금연 객차; 금연석[실].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
priceless,"값을 매길 수 없는, 대단히 귀중한",정말 재미있는,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
popular,인기 있는,대중[통속]적인,"많은 사람들이 공유하는, 일반적인",(한 국가) 대중들의[보통 사람들의],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robotics,로봇 공학,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
understand,"(남의 말·단어의 의미·언어 등을) 이해하다, 알아듣다, 알다",(원리·원인·중요성 등을) 이해하다[알다],(사람을) 이해하다,(…라고) 이해하다[생각하다/여기다],(말을 할 필요 없이) 합의[이해]되다,(문장이나 어구 속에 생략된 부분을) 감안하여 이해하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leadership,대표[지도자]직[임],"지도력, 통솔력",(조직의) 지도[대표]부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
itemize,"항목별로 적다[말하다], 명세서를 작성하다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
woody,"나무 같은, 목질의",나무가 우거진,나무 냄새 같은 게 나는,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groundwater,지하수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yang,(중국 철학에서) 양(陽),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
win,이기다,(경기 등에서 이겨 무엇을) 따다[타다/차지[쟁취]하다],(특히 노력을 통해 무엇을) 얻다[획득하다],승리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gorgeous,아주 멋진[아름다운/좋은],"선명한, 화려한",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confidential,비밀[기밀]의,은밀한,"신뢰를 받는, (누가) 신임하는",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eli,엘리(선지자 Samuel을 키운 이스라엘의 제사장. ←사무엘 상(1 Samuel) 1-3).,Yale 대학의 학생[졸업생].,엘리(남자 이름).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relate,관련[결부]시키다,(말·글로) …에 대하여 이야기하다[들려주다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
massive,(육중하면서) 거대한,엄청나게 큰[심각한],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cellular,세포의,무선[휴대] 전화의,(보온성을 높이기 위해) 성기게 짠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bankruptcy,"파산 (상태), 파탄",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mad,"미친, 정신 이상인","말도 안 되는, 정신 나간, 터무니없는",몹시[미친 듯이] 화가 난[화를 내는],"미치도록 좋아하는, …에 미친[사족을 못 쓰는]",정신없이[미친 듯이] 한,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
insignificant,"대수롭지 않은, 사소한, 하찮은",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caroline,영국왕 찰스 1·2세 (시대)의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locate,…의 정확한 위치를 찾아내다,(특정 위치에) 두다[설치하다],(특정 장소에서) 사업을 시작하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
access,(장소로의) 입장[접근],"접근권, 접촉 기회",(컴퓨터에) 접속하다,접근하다; 들어가다; 이용하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prizes,"상, 상품; 경품",(성취하기 힘들지만) 소중한 것,(경연에서) 상을 받을 만한,훌륭한 모범이 되는,소중하게[귀하게] 여기다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farley,"James A(loysius), 팔리(1888-1976): 미국의 정치가.",남자 이름.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lafayette,남자 이름,라파예트 Marquis de ~ (1757-1834) ((프랑스의 군인·정치가)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flood,홍수,"쇄도, 폭주, 홍수","물에 잠기다[잠기게 하다], 침수되다[시키다]",범람하다[시키다],"쇄도[폭주]하다, 물밀듯이 밀려들다",~에게 ~을 대량으로 보내다,~에 (~이) 마구 넘치다[범람하다]; 넘쳐나게[범람하게] 하다,(감정생각이) (갑자기 강하게) 밀려들다,(빛색채가) (갑자기) 가득 들어오다[채우다],(시동이 안 걸릴 정도로) 기름이[을] 가득 차다[채우다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cleveland,미국 Ohio 주 북동부의 Erie 호반에 있는 도시,1974년에 신설된 영국 북부의 주 ((주도 Middlesbrough [mídlzbrə])),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
